original_recipe_id,mapped_recipe_id
10,1
11,2
12,3
13,4
14,5
15,6
16,7
17,8
18,9
19,10
20,11
21,12
23,13
24,14
25,15
26,16
27,17
29,18
30,19
31,20
32,21
33,22
35,23
36,24
39,25
40,26
42,27
43,28
44,29
45,30
46,31
49,32
50,33
51,34
53,35
54,36
57,37
58,38
59,39
61,40
64,41
65,42
66,43
68,44
72,45
75,46
77,47
79,48
80,49
81,50
82,51
84,52
86,53
87,54
88,55
90,56
92,57
96,58
97,59
101,60
103,61
104,62
105,63
106,64
108,65
110,66
112,67
113,68
115,69
116,70
119,71
120,72
121,73
122,74
123,75
126,76
127,77
128,78
129,79
133,80
134,81
135,82
136,83
137,84
141,85
144,86
145,87
146,88
149,89
150,90
151,91
153,92
155,93
156,94
157,95
162,96
163,97
164,98
165,99
166,100
167,101
168,102
169,103
170,104
171,105
172,106
173,107
174,108
176,109
178,110
181,111
182,112
183,113
187,114
188,115
190,116
191,117
192,118
193,119
194,120
195,121
196,122
197,123
198,124
199,125
201,126
204,127
206,128
207,129
208,130
209,131
210,132
211,133
212,134
214,135
215,136
216,137
217,138
218,139
222,140
223,141
224,142
225,143
226,144
227,145
228,146
229,147
230,148
231,149
232,150
233,151
235,152
236,153
237,154
238,155
240,156
241,157
244,158
245,159
246,160
248,161
252,162
254,163
256,164
258,165
259,166
263,167
265,168
268,169
270,170
271,171
272,172
275,173
276,174
277,175
278,176
279,177
280,178
281,179
285,180
286,181
287,182
288,183
289,184
290,185
291,186
292,187
293,188
294,189
295,190
296,191
297,192
298,193
299,194
301,195
302,196
303,197
305,198
307,199
308,200
309,201
310,202
311,203
312,204
313,205
314,206
315,207
316,208
318,209
319,210
320,211
321,212
322,213
327,214
328,215
329,216
330,217
332,218
333,219
335,220
336,221
337,222
338,223
339,224
340,225
341,226
342,227
343,228
344,229
345,230
346,231
347,232
348,233
350,234
355,235
356,236
357,237
359,238
360,239
362,240
365,241
366,242
368,243
369,244
373,245
374,246
375,247
376,248
377,249
378,250
379,251
380,252
381,253
382,254
384,255
386,256
387,257
388,258
405,259
406,260
409,261
417,262
418,263
419,264
420,265
423,266
424,267
425,268
426,269
427,270
428,271
429,272
430,273
431,274
432,275
433,276
434,277
435,278
436,279
437,280
438,281
439,282
440,283
441,284
442,285
443,286
444,287
447,288
449,289
450,290
452,291
455,292
456,293
457,294
458,295
465,296
467,297
470,298
475,299
476,300
477,301
478,302
479,303
480,304
483,305
484,306
487,307
488,308
491,309
492,310
494,311
496,312
498,313
499,314
501,315
502,316
503,317
505,318
506,319
507,320
508,321
509,322
510,323
513,324
514,325
516,326
517,327
518,328
519,329
520,330
521,331
522,332
523,333
525,334
526,335
527,336
528,337
530,338
531,339
532,340
533,341
534,342
535,343
536,344
537,345
538,346
539,347
540,348
541,349
543,350
544,351
545,352
548,353
549,354
550,355
551,356
554,357
556,358
558,359
561,360
562,361
563,362
566,363
567,364
569,365
570,366
571,367
573,368
574,369
579,370
581,371
583,372
586,373
587,374
588,375
589,376
590,377
593,378
594,379
595,380
596,381
597,382
598,383
599,384
601,385
602,386
603,387
611,388
612,389
613,390
614,391
616,392
617,393
619,394
620,395
621,396
622,397
624,398
626,399
628,400
629,401
630,402
632,403
635,404
636,405
637,406
638,407
639,408
640,409
641,410
642,411
643,412
644,413
645,414
648,415
649,416
650,417
651,418
652,419
654,420
655,421
656,422
657,423
658,424
662,425
663,426
664,427
665,428
666,429
667,430
668,431
670,432
671,433
672,434
674,435
684,436
686,437
689,438
690,439
691,440
692,441
696,442
697,443
698,444
700,445
701,446
702,447
703,448
704,449
705,450
706,451
708,452
710,453
711,454
712,455
713,456
714,457
715,458
716,459
717,460
718,461
722,462
723,463
725,464
726,465
727,466
729,467
730,468
733,469
734,470
735,471
736,472
737,473
738,474
740,475
741,476
746,477
747,478
748,479
749,480
752,481
763,482
764,483
765,484
767,485
770,486
771,487
773,488
774,489
775,490
778,491
779,492
780,493
781,494
782,495
783,496
786,497
788,498
789,499
791,500
792,501
793,502
794,503
795,504
799,505
800,506
803,507
807,508
810,509
813,510
815,511
816,512
817,513
818,514
820,515
824,516
825,517
827,518
828,519
829,520
831,521
832,522
833,523
834,524
835,525
836,526
838,527
839,528
840,529
841,530
845,531
846,532
849,533
850,534
851,535
852,536
855,537
858,538
859,539
860,540
861,541
864,542
865,543
866,544
867,545
869,546
870,547
871,548
872,549
873,550
876,551
877,552
879,553
880,554
884,555
891,556
892,557
893,558
894,559
895,560
896,561
897,562
900,563
901,564
902,565
903,566
904,567
905,568
906,569
907,570
908,571
909,572
911,573
912,574
913,575
916,576
923,577
924,578
925,579
926,580
928,581
930,582
931,583
932,584
933,585
934,586
935,587
937,588
938,589
939,590
940,591
941,592
945,593
946,594
947,595
949,596
951,597
952,598
955,599
956,600
957,601
958,602
959,603
960,604
961,605
962,606
963,607
964,608
965,609
966,610
967,611
968,612
969,613
971,614
972,615
975,616
976,617
977,618
978,619
979,620
981,621
982,622
983,623
984,624
985,625
986,626
987,627
988,628
989,629
990,630
991,631
992,632
994,633
995,634
996,635
997,636
998,637
1000,638
1003,639
1005,640
1006,641
1009,642
1010,643
1011,644
1012,645
1013,646
1014,647
1016,648
1017,649
1018,650
1019,651
1020,652
1021,653
1022,654
1023,655
1024,656
1025,657
1026,658
1028,659
1029,660
1030,661
1034,662
1037,663
1038,664
1039,665
1040,666
1045,667
1046,668
1047,669
1049,670
1050,671
1051,672
1058,673
1059,674
1060,675
1061,676
1062,677
1063,678
1064,679
1065,680
1066,681
1069,682
1071,683
1072,684
1074,685
1075,686
1076,687
1077,688
1078,689
1079,690
1080,691
1082,692
1083,693
1084,694
1085,695
1088,696
1089,697
1092,698
1093,699
1094,700
1095,701
1096,702
1097,703
1098,704
1099,705
1100,706
1102,707
1103,708
1104,709
1105,710
1107,711
1108,712
1109,713
1110,714
1111,715
1113,716
1114,717
1115,718
1116,719
1118,720
1119,721
1120,722
1121,723
1122,724
1123,725
1129,726
1130,727
1131,728
1132,729
1134,730
1136,731
1137,732
1138,733
1139,734
1143,735
1144,736
1146,737
1147,738
1148,739
1149,740
1150,741
1151,742
1152,743
1155,744
1156,745
1157,746
1158,747
1159,748
1160,749
1161,750
1162,751
1163,752
1164,753
1165,754
1166,755
1167,756
1168,757
1169,758
1170,759
1171,760
1172,761
1173,762
1174,763
1176,764
1177,765
1178,766
1180,767
1183,768
1184,769
1185,770
1186,771
1187,772
1189,773
1191,774
1192,775
1193,776
1194,777
1195,778
1196,779
1197,780
1199,781
1200,782
1202,783
1203,784
1205,785
1206,786
1207,787
1210,788
1211,789
1212,790
1213,791
1214,792
1215,793
1216,794
1217,795
1221,796
1222,797
1223,798
1224,799
1225,800
1226,801
1228,802
1230,803
1231,804
1235,805
1239,806
1240,807
1243,808
1244,809
1245,810
1246,811
1247,812
1248,813
1249,814
1253,815
1254,816
1255,817
1256,818
1257,819
1258,820
1259,821
1260,822
1261,823
1262,824
1264,825
1265,826
1267,827
1268,828
1270,829
1271,830
1272,831
1273,832
1274,833
1275,834
1276,835
1277,836
1282,837
1283,838
1284,839
1286,840
1288,841
1289,842
1290,843
1291,844
1293,845
1294,846
1295,847
1296,848
1300,849
1301,850
1303,851
1304,852
1305,853
1307,854
1310,855
1312,856
1315,857
1316,858
1317,859
1318,860
1319,861
1320,862
1321,863
1322,864
1323,865
1325,866
1328,867
1331,868
1332,869
1333,870
1335,871
1336,872
1338,873
1345,874
1346,875
1350,876
1351,877
1352,878
1353,879
1354,880
1355,881
1356,882
1357,883
1358,884
1360,885
1361,886
1362,887
1363,888
1364,889
1367,890
1368,891
1370,892
1371,893
1375,894
1379,895
1380,896
1381,897
1382,898
1384,899
1386,900
1387,901
1388,902
1389,903
1391,904
1392,905
1394,906
1395,907
1396,908
1398,909
1400,910
1401,911
1402,912
1403,913
1404,914
1405,915
1406,916
1407,917
1408,918
1409,919
1410,920
1412,921
1413,922
1415,923
1416,924
1417,925
1418,926
1419,927
1420,928
1421,929
1427,930
1428,931
1429,932
1431,933
1432,934
1434,935
1436,936
1437,937
1438,938
1439,939
1444,940
1446,941
1450,942
1451,943
1453,944
1454,945
1456,946
1457,947
1459,948
1460,949
1461,950
1464,951
1469,952
1470,953
1471,954
1472,955
1473,956
1476,957
1477,958
1479,959
1480,960
1481,961
1482,962
1483,963
1484,964
1485,965
1486,966
1493,967
1494,968
1495,969
1496,970
1498,971
1500,972
1501,973
1502,974
1503,975
1505,976
1506,977
1508,978
1516,979
1517,980
1518,981
1519,982
1521,983
1523,984
1524,985
1526,986
1527,987
1528,988
1530,989
1531,990
1532,991
1533,992
1536,993
1537,994
1538,995
1539,996
1540,997
1541,998
1542,999
1543,1000
1544,1001
1545,1002
1546,1003
1547,1004
1548,1005
1550,1006
1551,1007
1552,1008
1553,1009
1555,1010
1556,1011
1557,1012
1558,1013
1561,1014
1562,1015
1563,1016
1564,1017
1566,1018
1567,1019
1568,1020
1569,1021
1570,1022
1571,1023
1575,1024
1576,1025
1578,1026
1579,1027
1580,1028
1581,1029
1586,1030
1588,1031
1589,1032
1590,1033
1591,1034
1593,1035
1594,1036
1595,1037
1597,1038
1599,1039
1600,1040
1601,1041
1602,1042
1604,1043
1605,1044
1606,1045
1608,1046
1609,1047
1610,1048
1611,1049
1612,1050
1613,1051
1614,1052
1615,1053
1616,1054
1617,1055
1620,1056
1621,1057
1623,1058
1624,1059
1626,1060
1628,1061
1629,1062
1630,1063
1632,1064
1633,1065
1636,1066
1637,1067
1645,1068
1647,1069
1648,1070
1649,1071
1650,1072
1652,1073
1653,1074
1654,1075
1656,1076
1657,1077
1658,1078
1659,1079
1660,1080
1662,1081
1663,1082
1664,1083
1665,1084
1666,1085
1667,1086
1668,1087
1670,1088
1671,1089
1672,1090
1673,1091
1674,1092
1675,1093
1676,1094
1677,1095
1678,1096
1679,1097
1681,1098
1682,1099
1685,1100
1686,1101
1688,1102
1689,1103
1691,1104
1692,1105
1693,1106
1696,1107
1697,1108
1698,1109
1699,1110
1704,1111
1705,1112
1706,1113
1709,1114
1710,1115
1711,1116
1713,1117
1715,1118
1716,1119
1717,1120
1718,1121
1719,1122
1721,1123
1722,1124
1723,1125
1725,1126
1727,1127
1729,1128
1730,1129
1731,1130
1732,1131
1733,1132
1734,1133
1735,1134
1736,1135
1737,1136
1738,1137
1739,1138
1741,1139
1742,1140
1743,1141
1744,1142
1746,1143
1747,1144
1749,1145
1750,1146
1751,1147
1752,1148
1753,1149
1757,1150
1759,1151
1760,1152
1761,1153
1763,1154
1764,1155
1765,1156
1766,1157
1767,1158
1768,1159
1769,1160
1770,1161
1771,1162
1772,1163
1773,1164
1774,1165
1775,1166
1776,1167
1777,1168
1778,1169
1780,1170
1781,1171
1782,1172
1783,1173
1784,1174
1786,1175
1787,1176
1793,1177
1794,1178
1795,1179
1796,1180
1798,1181
1799,1182
1800,1183
1801,1184
1802,1185
1803,1186
1805,1187
1806,1188
1808,1189
1810,1190
1811,1191
1812,1192
1813,1193
1814,1194
1815,1195
1816,1196
1818,1197
1819,1198
1820,1199
1822,1200
1823,1201
1824,1202
1826,1203
1827,1204
1828,1205
1829,1206
1831,1207
1832,1208
1833,1209
1834,1210
1835,1211
1836,1212
1837,1213
1838,1214
1839,1215
1840,1216
1841,1217
1843,1218
1845,1219
1846,1220
1847,1221
1848,1222
1850,1223
1851,1224
1852,1225
1853,1226
1854,1227
1856,1228
1857,1229
1859,1230
1860,1231
1861,1232
1863,1233
1864,1234
1865,1235
1869,1236
1870,1237
1874,1238
1877,1239
1878,1240
1881,1241
1885,1242
1886,1243
1887,1244
1888,1245
1889,1246
1890,1247
1891,1248
1892,1249
1893,1250
1894,1251
1895,1252
1896,1253
1897,1254
1899,1255
1900,1256
1901,1257
1902,1258
1903,1259
1904,1260
1906,1261
1909,1262
1911,1263
1920,1264
1921,1265
1922,1266
1923,1267
1924,1268
1925,1269
1926,1270
1928,1271
1929,1272
1932,1273
1933,1274
1934,1275
1935,1276
1936,1277
1937,1278
1938,1279
1939,1280
1940,1281
1941,1282
1942,1283
1943,1284
1944,1285
1945,1286
1947,1287
1952,1288
1954,1289
1956,1290
1957,1291
1959,1292
1960,1293
1962,1294
1963,1295
1967,1296
1968,1297
1969,1298
1970,1299
1971,1300
1972,1301
1973,1302
1974,1303
1975,1304
1976,1305
1977,1306
1978,1307
1981,1308
1983,1309
1984,1310
1985,1311
1986,1312
1988,1313
1989,1314
1990,1315
1991,1316
1993,1317
1997,1318
1998,1319
1999,1320
2000,1321
2001,1322
2002,1323
2003,1324
2004,1325
2006,1326
2008,1327
2009,1328
2016,1329
2018,1330
2019,1331
2036,1332
2038,1333
2039,1334
2042,1335
2043,1336
2044,1337
2046,1338
2047,1339
2048,1340
2050,1341
2052,1342
2053,1343
2054,1344
2055,1345
2058,1346
2061,1347
2062,1348
2065,1349
2068,1350
2069,1351
2070,1352
2071,1353
2072,1354
2074,1355
2075,1356
2076,1357
2078,1358
2081,1359
2084,1360
2085,1361
2086,1362
2087,1363
2088,1364
2089,1365
2090,1366
2091,1367
2092,1368
2093,1369
2094,1370
2095,1371
2096,1372
2097,1373
2098,1374
2099,1375
2100,1376
2101,1377
2103,1378
2104,1379
2108,1380
2111,1381
2117,1382
2121,1383
2123,1384
2124,1385
2125,1386
2130,1387
2131,1388
2132,1389
2134,1390
2135,1391
2136,1392
2137,1393
2139,1394
